# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookupDuration90PMs,1709317571279000000,1709317631278000000,0.0
VFSFlusher.totalFlushes,1709317571279000000,1709317631278000000,1
VFSFlusher.totalFlushingTimeUs,1709317571279000000,1709317631278000000,81051
Indexes.allKeys.lookupDurationMaxMs,1709317571279000000,1709317631278000000,0.0
Indexes.allKeys.lookupDuration90PMs,1709317571279000000,1709317631278000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1709317571279000000,1709317631278000000,0.0
Indexes.entries.lookupDuration90PMs,1709317571279000000,1709317631278000000,0.0
Indexes.stubs.lookupDurationAvgMs,1709317571279000000,1709317631278000000,0.25787187839305103
FileNameCache.queries,1709317571279000000,1709317631278000000,1895273
FileNameCache.totalMisses,1709317571279000000,1709317631278000000,29623
FileNameCache.fastMisses,1709317571279000000,1709317631278000000,132436
JVM.GC.collectionTimesMs,1709317571279000000,1709317631278000000,77
OS.loadAverage,1709317571279000000,1709317631278000000,3.57
JVM.maxNativeBytes,1709317571279000000,1709317631278000000,-1
JVM.usedHeapBytes,1709317571279000000,1709317631278000000,976224256
JVM.totalCpuTimeMs,1709317571279000000,1709317631278000000,32670
JVM.usedNativeBytes,1709317571279000000,1709317631278000000,476179440
JVM.maxHeapBytes,1709317571279000000,1709317631278000000,2147483648
JVM.GC.collections,1709317571279000000,1709317631278000000,1
JVM.threadCount,1709317571279000000,1709317631278000000,61
workspaceModel.loading.from.cache.ms,1709317571279000000,1709317631278000000,784
workspaceModel.init.bridges.ms,1709317571279000000,1709317631278000000,120
workspaceModel.collect.changes.ms,1709317571279000000,1709317631278000000,0
workspaceModel.updates.ms,1709317571279000000,1709317631278000000,641
workspaceModel.pre.handlers.ms,1709317571279000000,1709317631278000000,9
workspaceModel.replace.project.model.ms,1709317571279000000,1709317631278000000,6
workspaceModel.to.snapshot.ms,1709317571279000000,1709317631278000000,11
workspaceModel.initializing.ms,1709317571279000000,1709317631278000000,120
workspaceModel.loading.total.ms,1709317571279000000,1709317631278000000,870
workspaceModel.updates.precise.ms,1709317571279000000,1709317631278000000,389
workspaceModel.updates.count,1709317571279000000,1709317631278000000,17
workspaceModel.update.unloaded.entities.ms,1709317571279000000,1709317631278000000,0
workspaceModel.check.recursive.update.ms,1709317571279000000,1709317631278000000,1
FilePageCache.pageLoads,1709317571279000000,1709317631278000000,42
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1709317571279000000,1709317631278000000,273883136
FilePageCache.totalPageLoadsUs,1709317571279000000,1709317631278000000,611831
StreamlinedBlobStorage.recordsDeleted,1709317571279000000,1709317631278000000,0
DirectByteBufferAllocator.reclaimed,1709317571279000000,1709317631278000000,0
FilePageCache.maxRegisteredFiles,1709317571279000000,1709317631278000000,450
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1709317571279000000,1709317631278000000,0
StorageLockContext.competingThreads.90P,1709317571279000000,1709317631278000000,0
FilePageCache.disposedBuffers,1709317571279000000,1709317631278000000,0
StreamlinedBlobStorage.recordsRelocated,1709317571279000000,1709317631278000000,0
FilePageCache.capacityInBytes,1709317571279000000,1709317631278000000,524288000
DirectByteBufferAllocator.misses,1709317571279000000,1709317631278000000,42
StorageLockContext.competingThreads.avg,1709317571279000000,1709317631278000000,0.0
DirectByteBufferAllocator.disposed,1709317571279000000,1709317631278000000,0
StreamlinedBlobStorage.recordsAllocated,1709317571279000000,1709317631278000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1709317571279000000,1709317631278000000,0
FilePageCache.totalPageDisposalsUs,1709317571279000000,1709317631278000000,118
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1709317571279000000,1709317631278000000,0
FilePageCache.pageFastCacheHits,1709317571279000000,1709317631278000000,106641
StorageLockContext.competingThreads.max,1709317571279000000,1709317631278000000,0
FilePageCache.maxCacheSizeInBytes,1709317571279000000,1709317631278000000,273883136
DirectByteBufferAllocator.hits,1709317571279000000,1709317631278000000,0
FilePageCache.pageHits,1709317571279000000,1709317631278000000,701
FilePageCache.uncachedFileAccess,1709317571279000000,1709317631278000000,9
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1709317571279000000,1709317631278000000,1
jps.global.get.library.by.name.ms,1709317571279000000,1709317631278000000,0
workspaceModel.global.updates.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleBridge.before.changed.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1709317571279000000,1709317631278000000,1
jps.project.serializers.load.ms,1709317571279000000,1709317631278000000,820
workspaceModel.delayed.project.synchronizer.sync.ms,1709317571279000000,1709317631278000000,1186
workspaceModel.mutableEntityStorage.add.entity.ms,1709317571279000000,1709317631278000000,523
jps.global.initialize.library.bridges.after.loading.ms,1709317571279000000,1709317631278000000,0
jps.storage.jps.conf.reader.load.component.ms,1709317571279000000,1709317631278000000,328
jps.global.handle.changed.events.ms,1709317571279000000,1709317631278000000,0
workspaceModel.load.cache.from.file.ms,1709317571279000000,1709317631278000000,781
workspaceModel.global.updates.count,1709317571279000000,1709317631278000000,0
jps.module.iml.entities.serializer.load.entities.ms,1709317571279000000,1709317631278000000,294
workspaceModel.mutableEntityStorage.collect.changes.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1709317571279000000,1709317631278000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1709317571279000000,1709317631278000000,11
workspaceModel.mutableEntityStorage.replace.by.source.ms,1709317571279000000,1709317631278000000,325
workspaceModel.mutableEntityStorage.referrers.ms,1709317571279000000,1709317631278000000,0
workspaceModel.mutableEntityStorage.entities.ms,1709317571279000000,1709317631278000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1709317571279000000,1709317631278000000,34
workspaceModel.mutableEntityStorage.has.same.entities.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1709317571279000000,1709317631278000000,5
jps.facet.change.listener.before.change.events.ms,1709317571279000000,1709317631278000000,1
jps.load.initial.state.ms,1709317571279000000,1709317631278000000,6
jps.facet.change.listener.process.change.events.ms,1709317571279000000,1709317631278000000,1
jps.save.global.entities.ms,1709317571279000000,1709317631278000000,0
jps.app.storage.content.reader.load.component.ms,1709317571279000000,1709317631278000000,0
jps.facet.change.listener.init.bridge.ms,1709317571279000000,1709317631278000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1709317571279000000,1709317631278000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1709317571279000000,1709317631278000000,6
workspaceModel.save.cache.to.file.ms,1709317571279000000,1709317631278000000,1055
jps.save.changed.project.entities.ms,1709317571279000000,1709317631278000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1709317571279000000,1709317631278000000,0
jps.project.serializers.save.ms,1709317571279000000,1709317631278000000,0
workspaceModel.orphan.listener.update.ms,1709317571279000000,1709317631278000000,6
workspaceModel.sync.entities.ms,1709317571279000000,1709317631278000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1709317571279000000,1709317631278000000,217
workspaceModel.moduleManagerBridge.load.module.ms,1709317571279000000,1709317631278000000,0
jps.module.iml.entities.serializer.save.entities.ms,1709317571279000000,1709317631278000000,0
jps.artifact.entities.serializer.save.entities.ms,1709317571279000000,1709317631278000000,0
workspaceModel.global.apply.state.to.project.ms,1709317571279000000,1709317631278000000,69
workspaceModel.moduleManagerBridge.create.module.instance.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleBridge.update.option.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1709317571279000000,1709317631278000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1709317571279000000,1709317631278000000,0
jps.library.entities.serializer.save.entities.ms,1709317571279000000,1709317631278000000,0
jps.load.project.to.empty.storage.ms,1709317571279000000,1709317631278000000,827
jps.reload.project.entities.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1709317571279000000,1709317631278000000,5794
workspaceModel.moduleManagerBridge.load.all.modules.ms,1709317571279000000,1709317631278000000,1559
jps.apply.loaded.storage.ms,1709317571279000000,1709317631278000000,349
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1709317571279000000,1709317631278000000,2
jps.global.initialize.library.bridges.ms,1709317571279000000,1709317631278000000,118
jps.library.entities.serializer.load.entities.ms,1709317571279000000,1709317631278000000,126
jps.global.handle.before.change.events.ms,1709317571279000000,1709317631278000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1709317571279000000,1709317631278000000,126
jps.artifact.entities.serializer.load.entities.ms,1709317571279000000,1709317631278000000,0
jps.global.get.library.ms,1709317571279000000,1709317631278000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1709317571279000000,1709317631278000000,29
jps.global.get.libraries.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1709317571279000000,1709317631278000000,2
AWTEventQueue.dispatchTimeTotalNS,1709317631278000000,1709317635104000000,11810873
FlushQueue.executionTimeMaxNs,1709317631278000000,1709317635104000000,72703
FlushQueue.waitingTime90PNs,1709317631278000000,1709317635104000000,158719
NonBlockingReadAction.finalizedExecutionTimeUs,1709317631278000000,1709317635104000000,0
FlushQueue.waitingTimeMaxNs,1709317631278000000,1709317635104000000,177151
AWTEventQueue.dispatchTimeMaxNs,1709317631278000000,1709317635104000000,868351
NonBlockingReadAction.finalizedExecutionsCount,1709317631278000000,1709317635104000000,0
FlushQueue.executionTimeAvgNs,1709317631278000000,1709317635104000000,27275.428571428572
FlushQueue.executionTime90PNs,1709317631278000000,1709317635104000000,61695
